sub,control
1,Phase 0 start: 21850
1,Phase 0 stop: 33193
1,Phase 1 start: 35703
1,Phase 1 stop: 43761
1,Phase 2 start: 46331
1,Phase 2 stop: 67101
1,Phase 3 start: 71009
1,Phase 3 stop: 89609
1,Phase 4 start: 92756
1,Phase 4 stop: 107449
2,Phase 0 start: 68148
2,Phase 0 stop: 79831
2,Phase 1 start: 82001
2,Phase 1 stop: 90471
2,Phase 2 start: 92694
2,Phase 2 stop: 111727
2,Phase 3 start: 113478
2,Phase 3 stop: 134918
2,Phase 4 start: 136786
2,Phase 4 stop: 149178
3,Phase 0 start: 35737
3,Phase 0 stop: 46437
3,Phase 1 start: 48043
3,Phase 1 stop: 56304
3,Phase 2 start: 58251
3,Phase 2 stop: 77016
3,Phase 3 start: 78792
3,Phase 3 stop: 99956
3,Phase 4 start: 101333
3,Phase 4 stop: 114525
4,Phase 0 start: 39735
4,Phase 0 stop: 50480
4,Phase 1 start: 52172
4,Phase 1 stop: 60092
4,Phase 2 start: 61744
4,Phase 2 stop: 82291
4,Phase 3 start: 83799
4,Phase 3 stop: 103436
4,Phase 4 start: 104576
4,Phase 4 stop: 117211
5,Phase 0 start: 6031
5,Phase 0 stop: 18842
5,Phase 1 start: 20783
5,Phase 1 stop: 28920
5,Phase 2 start: 31148
5,Phase 2 stop: 51795
5,Phase 3 start: 54188
5,Phase 3 stop: 73589
5,Phase 4 start: 75510
5,Phase 4 stop: 89777
6,Phase 0 start: 6880
6,Phase 0 stop: 18982
6,Phase 1 start: 20779
6,Phase 1 stop: 28915
6,Phase 2 start: 31144
6,Phase 2 stop: 51580
6,Phase 3 start: 53507
6,Phase 3 stop: 73386
6,Phase 4 start: 75360
6,Phase 4 stop: 88433
7,Phase 0 start: 7387
7,Phase 0 stop: 17830
7,Phase 1 start: 20551
7,Phase 1 stop: 28510
7,Phase 2 start: 30497
7,Phase 2 stop: 50480
7,Phase 3 start: 52407
7,Phase 3 stop: 72712
7,Phase 4 start: 75256
7,Phase 4 stop: 89129
8,Phase 0 start: 3098
8,Phase 0 stop: 13477
8,Phase 1 start: 16781
8,Phase 1 stop: 24262
8,Phase 2 start: 26373
8,Phase 2 stop: 46749
8,Phase 3 start: 48932
8,Phase 3 stop: 67172
8,Phase 4 start: 69263
8,Phase 4 stop: 79937
9,Phase 0 start: 79322
9,Phase 0 stop: 90375
9,Phase 1 start: 91955
9,Phase 1 stop: 99940
9,Phase 2 start: 101960
9,Phase 2 stop: 124211
9,Phase 3 start: 127148
9,Phase 3 stop: 148062
9,Phase 4 start: 150396
9,Phase 4 stop: 163686
10,Phase 0 start: 77198
10,Phase 0 stop: 87747
10,Phase 1 start: 89471
10,Phase 1 stop: 97692
10,Phase 2 start: 99594
10,Phase 2 stop: 118357
10,Phase 3 start: 120507
10,Phase 3 stop: 140484
10,Phase 4 start: 142149
10,Phase 4 stop: 154625
11,Phase 0 start: 2996
11,Phase 0 stop: 14128
11,Phase 1 start: 16128
11,Phase 1 stop: 24468
11,Phase 2 start: 26690
11,Phase 2 stop: 47533
11,Phase 3 start: 50384
11,Phase 3 stop: 70191
11,Phase 4 start: 73561
11,Phase 4 stop: 87080
12,Phase 0 start: 24821
12,Phase 0 stop: 35547
12,Phase 1 start: 37153
12,Phase 1 stop: 45244
12,Phase 2 start: 46810
12,Phase 2 stop: 67469
12,Phase 3 start: 69272
12,Phase 3 stop: 89793
12,Phase 4 start: 90960
12,Phase 4 stop: 105076
13,Phase 0 start: 181063
13,Phase 0 stop: 191776
13,Phase 1 start: 195002
13,Phase 1 stop: 203053
13,Phase 2 start: 205354
13,Phase 2 stop: 226125
13,Phase 3 start: 228360
13,Phase 3 stop: 248377
13,Phase 4 start: 250193
13,Phase 4 stop: 262814
14,Phase 0 start: 70237
14,Phase 0 stop: 81363
14,Phase 1 start: 83277
14,Phase 1 stop: 91315
14,Phase 2 start: 93439
14,Phase 2 stop: 113770
14,Phase 3 start: 115789
14,Phase 3 stop: 136232
14,Phase 4 start: 138697
14,Phase 4 stop: 152262
